"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x3304655473","x1243169541590417408",2020-03-26 13:34:50,"moonxchild12","That trashtalkan thing? I knew it started with my uni, then to the big4, then eveolved to smth else. But goddammit can it just stop? Di siya nakakatuwa. Maybe this is me being old and not finding it amusing, but who tf cares? That just brings up negativity that no one needs","Twitter Web App",140,,,,FALSE,TRUE,0,7,,,,,,,,,,,,,,,,"x923098176931766272","won_vagary","en",,,,,,,,,,,,,,,,"x1243088454004531200","That trashtalkan thing? I knew it started with my uni, then to the big4, then eveolved to smth else. But goddammit can it just stop? Di siya nakakatuwa. Maybe this is me being old and not finding it amusing, but who tf cares? That just brings up negativity that no one needs",2020-03-26 08:12:37,"Twitter for Android",14,7,"x923098176931766272","won_vagary","Cee 💚💜",453,454,49306,"somewhere in neverland","Part time carat, full-time idiot. I also write sometimes",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/moonxchild12/status/1243169541590417408","𝘮𝘢𝘳𝘴’ 𝘴𝘩𝘪𝘯𝘦𝘴𝘵𝘢𝘳 ⁷ 🦋","","ᴍᴏᴏɴᴄʜɪʟᴅ 🌙 ʙᴛs x sᴠᴛ x ɢᴏᴛ7 x ᴀᴛᴇᴇᴢ x ɴᴄᴛ 🌟 OPEN FOR GFX COMISSIONS 💻 saw GOT7 (102619) x SVT (020820)",,FALSE,902,1104,6,28502,3625,2015-08-02 22:42:43,FALSE,,,,"https://pbs.twimg.com/profile_banners/3304655473/1585163386","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1243049709599469568/P6nIFiYg_normal.jpg"
"x759624940878299136","x1243167058180755458",2020-03-26 13:24:58,"notyounghee","That trashtalkan thing? I knew it started with my uni, then to the big4, then eveolved to smth else. But goddammit can it just stop? Di siya nakakatuwa. Maybe this is me being old and not finding it amusing, but who tf cares? That just brings up negativity that no one needs","Twitter for Android",140,,,,FALSE,TRUE,0,7,,,,,,,,,,,,,,,,"x923098176931766272","won_vagary","en",,,,,,,,,,,,,,,,"x1243088454004531200","That trashtalkan thing? I knew it started with my uni, then to the big4, then eveolved to smth else. But goddammit can it just stop? Di siya nakakatuwa. Maybe this is me being old and not finding it amusing, but who tf cares? That just brings up negativity that no one needs",2020-03-26 08:12:37,"Twitter for Android",14,7,"x923098176931766272","won_vagary","Cee 💚💜",453,454,49306,"somewhere in neverland","Part time carat, full-time idiot. I also write sometimes",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/notyounghee/status/1243167058180755458","Yans ia| UNF SPREE📌","ao3/aff:strwberrychampgne|🇵🇭","#하유: I am the Virgo that SVT lacks","https://t.co/Kxy7fjSpxU",FALSE,2708,1693,81,56843,76849,2016-07-31 05:41:13,FALSE,"https://t.co/Kxy7fjSpxU","http://curiouscat.me/ShiningCarat",,"https://pbs.twimg.com/profile_banners/759624940878299136/1581216014","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1234777523843502081/lgGX95NZ_normal.jpg"
"x860131061832884230","x1243162882679832577",2020-03-26 13:08:22,"woozi_winks","That trashtalkan thing? I knew it started with my uni, then to the big4, then eveolved to smth else. But goddammit can it just stop? Di siya nakakatuwa. Maybe this is me being old and not finding it amusing, but who tf cares? That just brings up negativity that no one needs","Twitter Web App",140,,,,FALSE,TRUE,0,7,,,,,,,,,,,,,,,,"x923098176931766272","won_vagary","en",,,,,,,,,,,,,,,,"x1243088454004531200","That trashtalkan thing? I knew it started with my uni, then to the big4, then eveolved to smth else. But goddammit can it just stop? Di siya nakakatuwa. Maybe this is me being old and not finding it amusing, but who tf cares? That just brings up negativity that no one needs",2020-03-26 08:12:37,"Twitter for Android",14,7,"x923098176931766272","won_vagary","Cee 💚💜",453,454,49306,"somewhere in neverland","Part time carat, full-time idiot. I also write sometimes",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/woozi_winks/status/1243162882679832577","˚* ❀ jira #OustDuterte ❀ *°","🇵🇭","ot13 💖 Soonhoon enthusiast 🐯🍚",,FALSE,127,296,0,5548,28530,2017-05-04 13:56:40,FALSE,,,,"https://pbs.twimg.com/profile_banners/860131061832884230/1575369789",,"http://pbs.twimg.com/profile_images/1242326890343354368/rqQXHmfc_normal.jpg"
"x2940411060","x1243150110122332160",2020-03-26 12:17:37,"Serene_Galaxy","That trashtalkan thing? I knew it started with my uni, then to the big4, then eveolved to smth else. But goddammit can it just stop? Di siya nakakatuwa. Maybe this is me being old and not finding it amusing, but who tf cares? That just brings up negativity that no one needs","Twitter for Android",140,,,,FALSE,TRUE,0,7,,,,,,,,,,,,,,,,"x923098176931766272","won_vagary","en",,,,,,,,,,,,,,,,"x1243088454004531200","That trashtalkan thing? I knew it started with my uni, then to the big4, then eveolved to smth else. But goddammit can it just stop? Di siya nakakatuwa. Maybe this is me being old and not finding it amusing, but who tf cares? That just brings up negativity that no one needs",2020-03-26 08:12:37,"Twitter for Android",14,7,"x923098176931766272","won_vagary","Cee 💚💜",453,454,49306,"somewhere in neverland","Part time carat, full-time idiot. I also write sometimes",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Serene_Galaxy/status/1243150110122332160","STREAM Fallin' Flower 🌸","🇵🇭","[FAN ACC] Multifan • INFP • Gemini • JoshWonHosh • #ICinMNL #NightmareCityinManila #OTYinMNL",,FALSE,1689,4995,4,33602,55542,2014-12-23 08:28:31,FALSE,,,,"https://pbs.twimg.com/profile_banners/2940411060/1585024089","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1242307178020483074/FWJ2yTyS_normal.jpg"
"x1143570187678957568","x1243114719755390982",2020-03-26 09:56:59,"unloyalbitxh","That trashtalkan thing? I knew it started with my uni, then to the big4, then eveolved to smth else. But goddammit can it just stop? Di siya nakakatuwa. Maybe this is me being old and not finding it amusing, but who tf cares? That just brings up negativity that no one needs","Twitter for Android",140,,,,FALSE,TRUE,0,7,,,,,,,,,,,,,,,,"x923098176931766272","won_vagary","en",,,,,,,,,,,,,,,,"x1243088454004531200","That trashtalkan thing? I knew it started with my uni, then to the big4, then eveolved to smth else. But goddammit can it just stop? Di siya nakakatuwa. Maybe this is me being old and not finding it amusing, but who tf cares? That just brings up negativity that no one needs",2020-03-26 08:12:37,"Twitter for Android",14,7,"x923098176931766272","won_vagary","Cee 💚💜",453,454,49306,"somewhere in neverland","Part time carat, full-time idiot. I also write sometimes",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/unloyalbitxh/status/1243114719755390982","[17's Kiss] 😘💋","PH","CaratZen ♥️💙💚",,FALSE,75,265,0,13141,31954,2019-06-25 17:22:34,FALSE,,,,"https://pbs.twimg.com/profile_banners/1143570187678957568/1584899988",,"http://pbs.twimg.com/profile_images/1241786670174728192/jPBZccdB_normal.jpg"
"x1389373585","x1243099134447333377",2020-03-26 08:55:03,"tofusnhnwxyz","That trashtalkan thing? I knew it started with my uni, then to the big4, then eveolved to smth else. But goddammit can it just stop? Di siya nakakatuwa. Maybe this is me being old and not finding it amusing, but who tf cares? That just brings up negativity that no one needs","Twitter for Android",140,,,,FALSE,TRUE,0,7,,,,,,,,,,,,,,,,"x923098176931766272","won_vagary","en",,,,,,,,,,,,,,,,"x1243088454004531200","That trashtalkan thing? I knew it started with my uni, then to the big4, then eveolved to smth else. But goddammit can it just stop? Di siya nakakatuwa. Maybe this is me being old and not finding it amusing, but who tf cares? That just brings up negativity that no one needs",2020-03-26 08:12:37,"Twitter for Android",14,7,"x923098176931766272","won_vagary","Cee 💚💜",453,454,49306,"somewhere in neverland","Part time carat, full-time idiot. I also write sometimes",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tofusnhnwxyz/status/1243099134447333377","˚* ❀ jiyani 🐰 | 이왕샤오 🖤.","","seventeen • winner • day6 • one ok rock • my first story • mdzs • the untamed boys • xiao zhan and wang yibo • 能和你在一起是我两辈子才修来的福分",,FALSE,2026,863,20,100948,139263,2013-04-29 12:10:43,FALSE,,,,"https://pbs.twimg.com/profile_banners/1389373585/1585010224","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1242246382607458305/zes8wYC0_normal.jpg"
"x923098176931766272","x1243088454004531200",2020-03-26 08:12:37,"won_vagary","That trashtalkan thing? I knew it started with my uni, then to the big4, then eveolved to smth else. But goddammit can it just stop? Di siya nakakatuwa. Maybe this is me being old and not finding it amusing, but who tf cares? That just brings up negativity that no one needs","Twitter for Android",274,,,,FALSE,FALSE,14,7,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/won_vagary/status/1243088454004531200","Cee 💚💜","somewhere in neverland","Part time carat, full-time idiot. I also write sometimes","https://t.co/FSKteGU334",FALSE,453,454,13,49306,16252,2017-10-25 08:05:30,FALSE,"https://t.co/FSKteGU334","https://curiouscat.me/jeononuuu",,"https://pbs.twimg.com/profile_banners/923098176931766272/1581762296",,"http://pbs.twimg.com/profile_images/1228626230208913408/tmFUKPUp_normal.jpg"
"x788975556","x1243049884086763520",2020-03-26 05:39:21,"spearhui","it's better than big4 trashtalkan at least 🥵","Twitter for iPhone",44,"x1243049299383963650","x788975556","spearhui",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/spearhui/status/1243049884086763520","aly","staytinyverse","#창빈: thicc bitches only",,FALSE,7655,298,98,60533,26419,2012-08-29 09:51:33,FALSE,,,,"https://pbs.twimg.com/profile_banners/788975556/1585060217","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1242458529589596168/X-d7QmB6_normal.jpg"
"x1002435988667297793","x1243040193721987072",2020-03-26 05:00:51,"mikamej","Beautiful Girl cover by Ben&amp;Ben is on repeat since Don said it’s his song for me. I’m also hooked to the Big4 Trashtalkan page (break from all the negativity). Nowww I  just asked him to converse only in Spanish. 

2nd week of Quarantine na nga. https://t.co/mxmTXcrJ3L","Twitter for iPhone",249,,,,FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/EUAqdvSUMAEFWFd.jpg","https://t.co/mxmTXcrJ3L","https://twitter.com/mikamej/status/1243040193721987072/photo/1","photo","http://pbs.twimg.com/media/EUAqdvSUMAEFWFd.jpg","https://t.co/mxmTXcrJ3L","https://twitter.com/mikamej/status/1243040193721987072/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mikamej/status/1243040193721987072","Mika Mejillano","Republic of the Philippines","Kassandra | Lawyer and Foodie👩🏼‍💼 Hello there, Stalker!",,FALSE,113,171,0,2805,7149,2018-06-01 06:25:38,FALSE,,,,"https://pbs.twimg.com/profile_banners/1002435988667297793/1577283873",,"http://pbs.twimg.com/profile_images/1219961342905348100/L74KYX1p_normal.jpg"
"x390743297","x1243019703959916545",2020-03-26 03:39:26,"christiantoleds","I was added to this “big4 trashtalkan” group. I hate it also I love it.","Twitter for iPhone",71,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/christiantoleds/status/1243019703959916545","#batangpasaway","","this my dream journal and live tweets of my life. it gets interesting sometimes or whatever.",,FALSE,348,379,4,3503,7536,2011-10-14 13:46:52,FALSE,,,,"https://pbs.twimg.com/profile_banners/390743297/1581827386","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1226925835392778240/BKV48vNu_normal.jpg"
